flow,month,cpa,value_ix,uv_ix,vol_ix,status
I,2021-05-01,108222,104.827461242676,105.584739685059,99.2827758789063,def
I,2021-06-01,108222,113.810638427734,105.994606018066,107.373992919922,def
I,2021-07-01,108222,111.938270568848,109.553718566895,102.176605224609,def
I,2021-08-01,108222,142.539733886719,120.685485839844,118.108428955078,def
I,2021-09-01,108222,176.835220336914,116.971260070801,151.178359985352,def
I,2021-10-01,108222,176.003616333008,122.278923034668,143.936187744141,def
I,2021-11-01,108222,169.900543212891,121.441787719727,139.902862548828,def
I,2021-12-01,108222,156.9453125,113.73006439209,137.998092651367,def
I,2022-01-01,108222,112.0234375,110.581840515137,101.303642272949,def
I,2022-02-01,108222,147.625335693359,114.953659057617,128.421600341797,def
I,2022-03-01,108222,147.350204467773,104.302215576172,141.272354125977,def
I,2022-04-01,108222,102.633331298828,102.723854064941,99.9118728637695,def
I,2022-05-01,108222,103.971961975098,100.359703063965,103.599311828613,def
I,2022-06-01,108222,106.207702636719,105.472091674805,100.697441101074,def
I,2022-07-01,108222,107.450828552246,104.242218017578,103.078033447266,def
I,2022-08-01,108222,131.299835205078,118.14111328125,111.138145446777,def
I,2022-09-01,108222,186.360733032227,110.415161132813,168.781845092773,def
I,2022-10-01,108222,168.464706420898,121.422485351563,138.742599487305,def
I,2022-11-01,108222,161.209228515625,125.181243896484,128.780654907227,def
I,2022-12-01,108222,155.595581054688,115.483390808105,134.734161376953,def
I,2023-01-01,108222,137.809783935547,121.200119018555,113.704330444336,def
I,2023-02-01,108222,139.156967163086,117.715675354004,118.214485168457,def
I,2023-03-01,108222,153.251770019531,112.331962585449,136.42756652832,def
I,2023-04-01,108222,104.522384643555,110.520881652832,94.5725173950195,def
I,2023-05-01,108222,116.612213134766,111.309959411621,104.76350402832,def
I,2023-06-01,108222,118.55982208252,112.242301940918,105.628463745117,def
I,2023-07-01,108222,118.646018981934,115.463096618652,102.756652832031,def
I,2023-08-01,108222,155.071823120117,123.470085144043,125.59464263916,def
I,2023-09-01,108222,180.481307983398,121.300605773926,148.788467407227,def
I,2023-10-01,108222,206.071594238281,128.428771972656,160.455947875977,def
I,2023-11-01,108222,176.723373413086,127.549728393555,138.552520751953,def
I,2023-12-01,108222,151.002319335938,129.244812011719,116.834342956543,def
I,2024-01-01,108222,137.95617128845,130.860452275863,105.422356193748,def
I,2024-02-01,108222,151.295629938156,124.646922282463,121.379355441915,def
I,2024-03-01,108222,127.840794871012,126.289800420133,101.228123895732,def
I,2024-04-01,108222,124.043475907557,124.182232954038,99.8882639649984,def
I,2024-05-01,108222,123.64562678901,121.625309454087,101.661100049661,def
I,2024-06-01,108222,124.567833000898,126.379320938902,98.5666268989242,def
I,2024-07-01,108222,141.859263297524,129.22687452942,109.775358000454,def
I,2024-08-01,108222,164.17704590765,133.310715608563,123.15367608811,def
I,2024-09-01,108222,185.229923117586,138.554859939463,133.687063960308,def
I,2024-10-01,108222,199.058364946925,147.28759464541,135.149444607879,def
I,2024-11-01,108222,191.661331517731,150.330145757003,127.493611943854,def
I,2024-12-01,108222,189.959666316585,145.420012320257,130.62828452825,def
I,2025-01-01,108222,163.806837134633,142.716814504238,114.777532475833,def
I,2025-02-01,108222,176.032699326782,151.126443628802,116.480409486673,def
I,2025-03-01,108222,164.294587426585,147.983358333268,111.022340796556,def
I,2025-04-01,108222,153.900441405782,147.008628126127,104.688033817873,def
I,2025-05-01,108222,140.046868593214,157.485875497653,88.9266221429406,def
I,2025-06-01,108222,161.780480377368,148.129483328622,109.215584710954,def
I,2025-07-01,108222,173.63491336223,151.855252837991,114.342382734565,def
I,2025-08-01,108222,174.317515948086,155.782130113863,111.898275408798,def
I,2025-09-01,108222,226.936925546619,163.034333695704,139.195788863633,def
I,2025-10-01,108222,249.024438362196,161.171657990174,154.508828015778,def
I,2025-11-01,108222,196.359660987694,159.776680846583,122.896320742024,def
I,2025-12-01,108222,186.664151319302,158.855290552943,117.505782645295,def
I,2026-01-01,108222,180.315850756907,160.68035268795,112.220224078949,prov
I,2026-02-01,108222,192.690574796446,160.610584118294,119.973771970733,prov
I,2026-03-01,108222,190.837444985029,155.252069447333,122.921032104608,prov
I,2026-04-01,108222,154.223812900343,153.687312440554,100.349086320332,prov
I,2026-05-01,108222,135.607663470895,147.913744952496,91.6802318316899,prov
I,2026-06-01,108222,151.497642943337,149.134896063308,101.584302433629,prov
I,2026-07-01,108222,154.193345630536,151.305915649921,101.908339731501,prov
I,2026-08-01,108222,177.940979068442,164.151124361733,108.400707473954,prov
I,2012-01-01,108223,100,100,100,def
I,2012-02-01,108223,100,100,100,def
I,2012-03-01,108223,100,100,100,def
I,2012-04-01,108223,100,100,100,def
I,2012-05-01,108223,100,100,100,def
I,2012-06-01,108223,100,100,100,def
I,2012-07-01,108223,100,100,100,def
I,2012-08-01,108223,100,100,100,def
I,2012-09-01,108223,100,100,100,def
I,2012-10-01,108223,100,100,100,def
I,2012-11-01,108223,100,100,100,def
I,2012-12-01,108223,100,100,100,def
I,2013-01-01,108223,103.087020874023,102.057273864746,101.008995056152,def
I,2013-02-01,108223,102.335334777832,100.141151428223,102.19108581543,def
I,2013-03-01,108223,103.438232421875,99.7991333007813,103.646423339844,def
I,2013-04-01,108223,99.2344436645508,98.8958435058594,100.342384338379,def
I,2013-05-01,108223,107.843727111816,103.71492767334,103.980903625488,def
I,2013-06-01,108223,108.762496948242,102.912528991699,105.684410095215,def
I,2013-07-01,108223,123.078681945801,105.188850402832,117.007347106934,def
I,2013-08-01,108223,107.08056640625,100.475082397461,106.574249267578,def
I,2013-09-01,108223,121.798843383789,105.253211975098,115.719833374023,def
I,2013-10-01,108223,125.771499633789,109.328666687012,115.039817810059,def
I,2013-11-01,108223,110.096748352051,112.424468994141,97.9295272827149,def
I,2013-12-01,108223,97.7094497680664,111.297958374023,87.7908706665039,def
I,2014-01-01,108223,116.099754333496,108.436302185059,107.067245483398,def
I,2014-02-01,108223,107.435432434082,106.198287963867,101.164939880371,def
I,2014-03-01,108223,120.328758239746,108.81526184082,110.580772399902,def
I,2014-04-01,108223,114.814033508301,108.072402954102,106.238067626953,def
I,2014-05-01,108223,107.38045501709,108.632110595703,98.8478012084961,def
I,2014-06-01,108223,121.550338745117,102.545509338379,118.533065795898,def
I,2014-07-01,108223,127.520500183105,104.651481628418,121.852546691895,def
I,2014-08-01,108223,97.7323608398438,109.655860900879,89.1264343261719,def
I,2014-09-01,108223,125.746337890625,108.441200256348,115.958084106445,def
I,2014-10-01,108223,132.534851074219,108.643768310547,121.990295410156,def
I,2014-11-01,108223,110.416160583496,108.415786743164,101.845092773438,def
I,2014-12-01,108223,90.7925872802734,107.85913848877,84.177001953125,def
I,2015-01-01,108223,102.651290893555,102.378952026367,100.266014099121,def
I,2015-02-01,108223,97.027717590332,99.5408706665039,97.4752578735352,def
I,2015-03-01,108223,99.7393035888672,97.4678421020508,102.330474853516,def
I,2015-04-01,108223,101.601470947266,93.4399261474609,108.734535217285,def
I,2015-05-01,108223,87.9744186401367,95.0459365844727,92.5598983764649,def
I,2015-06-01,108223,115.027946472168,93.7219924926758,122.73314666748,def
I,2015-07-01,108223,107.59977722168,96.9882507324219,110.941040039063,def
I,2015-08-01,108223,104.14525604248,99.1158218383789,105.07430267334,def
I,2015-09-01,108223,123.312301635742,100.68669128418,122.471305847168,def
I,2015-10-01,108223,114.53441619873,100.999214172363,113.401298522949,def
I,2015-11-01,108223,107.442588806152,102.626594543457,104.692726135254,def
I,2015-12-01,108223,94.8522338867187,102.10758972168,92.894401550293,def
I,2016-01-01,108223,95.7086791992188,101.415557861328,94.3727798461914,def
I,2016-02-01,108223,114.452362060547,101.835014343262,112.389991760254,def
I,2016-03-01,108223,105.791152954102,99.9344329833984,105.860565185547,def
I,2016-04-01,108223,119.880516052246,101.058242797852,118.625175476074,def
I,2016-05-01,108223,100.669715881348,101.62508392334,99.0599060058594,def
I,2016-06-01,108223,118.461784362793,99.6630096435547,118.862335205078,def
I,2016-07-01,108223,108.609260559082,101.164283752441,107.359298706055,def
I,2016-08-01,108223,115.216979980469,103.081184387207,111.773048400879,def
I,2016-09-01,108223,123.737777709961,101.551208496094,121.847671508789,def
I,2016-10-01,108223,113.78133392334,103.338180541992,110.105796813965,def
I,2016-11-01,108223,104.959953308105,101.847328186035,103.056175231934,def
I,2016-12-01,108223,96.398063659668,100.086143493652,96.3150939941406,def
I,2017-01-01,108223,98.9889144897461,101.146682739258,97.86669921875,def
I,2017-02-01,108223,94.5459747314453,100.880859375,93.7204360961914,def
I,2017-03-01,108223,121.105674743652,100.429130554199,120.588195800781,def
I,2017-04-01,108223,96.411018371582,99.6410293579102,96.7583541870117,def
I,2017-05-01,108223,114.262725830078,99.9470291137695,114.323280334473,def
I,2017-06-01,108223,111.124496459961,100.541801452637,110.525665283203,def
I,2017-07-01,108223,109.417808532715,99.895378112793,109.532402038574,def
I,2017-08-01,108223,109.856758117676,101.288017272949,108.459785461426,def
I,2017-09-01,108223,119.099746704102,102.563362121582,116.123092651367,def
I,2017-10-01,108223,123.781372070313,101.752014160156,121.650054931641,def
I,2017-11-01,108223,134.620742797852,102.056243896484,131.908386230469,def
I,2017-12-01,108223,95.9742889404297,104.102912902832,92.1917419433594,def
I,2018-01-01,108223,109.549652099609,101.525489807129,107.903594970703,def
I,2018-02-01,108223,107.003623962402,102.558074951172,104.334663391113,def
I,2018-03-01,108223,115.503120422363,102.36205291748,112.837829589844,def
I,2018-04-01,108223,118.359115600586,101.594505310059,116.501495361328,def
I,2018-05-01,108223,107.913330078125,102.290405273438,105.497024536133,def
I,2018-06-01,108223,113.325668334961,102.69588470459,110.350730895996,def
I,2018-07-01,108223,108.561981201172,101.581497192383,106.871803283691,def
I,2018-08-01,108223,120.782646179199,103.21411895752,117.021438598633,def
I,2018-09-01,108223,110.919563293457,100.526329040527,110.338813781738,def
I,2018-10-01,108223,126.352325439453,102.999992370605,122.672172546387,def
I,2018-11-01,108223,117.51342010498,102.416580200195,114.740623474121,def
I,2018-12-01,108223,90.4012069702148,100.744270324707,89.7333526611328,def
I,2019-01-01,108223,114.994354248047,98.8544082641602,116.326988220215,def
I,2019-02-01,108223,104.822021484375,99.4294891357422,105.423477172852,def
I,2019-03-01,108223,105.768608093262,101.038696289063,104.681289672852,def
I,2019-04-01,108223,115.59073638916,99.7424926757813,115.889152526855,def
I,2019-05-01,108223,112.085578918457,98.3096008300781,114.012847900391,def
I,2019-06-01,108223,107.714996337891,98.8578643798828,108.959457397461,def
I,2019-07-01,108223,113.855377197266,97.8449172973633,116.363105773926,def
I,2019-08-01,108223,113.601928710938,100.353866577148,113.201347351074,def
I,2019-09-01,108223,119.065437316895,101.035598754883,117.845039367676,def
I,2019-10-01,108223,133.533126831055,101.124206542969,132.048629760742,def
I,2019-11-01,108223,118.073570251465,102.295677185059,115.423812866211,def
I,2019-12-01,108223,97.2669067382813,100.004814147949,97.2622222900391,def
I,2020-01-01,108223,109.645713806152,99.9331130981445,109.719100952148,def
I,2020-02-01,108223,117.582893371582,95.9096527099609,122.597564697266,def
I,2020-03-01,108223,108.873168945313,98.8444900512695,110.145919799805,def
I,2020-04-01,108223,94.4258651733398,94.5310287475586,99.8887481689453,def
I,2020-05-01,108223,94.5394439697266,95.6743621826172,98.8137741088867,def
I,2020-06-01,108223,118.174743652344,97.5635681152344,121.12589263916,def
I,2020-07-01,108223,110.918876647949,99.3836288452149,111.606788635254,def
I,2020-08-01,108223,111.482124328613,98.3641815185547,113.336097717285,def
I,2020-09-01,108223,135.720581054688,98.0131301879883,138.471832275391,def
I,2020-10-01,108223,120.619522094727,101.311004638672,119.058662414551,def
I,2020-11-01,108223,111.321868896484,101.852348327637,109.297302246094,def
