Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
E;2019;4;April;10891;112.56863403320312;99.32079315185547;113.33843231201172;98.88118743896484;99.7748794555664;99.10428619384766;84.677490234375;106.66265869140625;79.38813018798828;def;2026-09-10T00:00:00.000+02:00
E;2019;5;Mai;10891;120.954833984375;91.93212127685547;131.56971740722656;101.92707824707031;97.6771011352539;104.35104370117188;107.4498519897461;92.56079864501953;116.08570861816406;def;2026-09-10T00:00:00.000+02:00
E;2019;6;Juni;10891;108.06649017333984;92.70165252685547;116.57450103759766;80.19414520263672;93.1766357421875;86.0667953491211;89.34449768066406;100.83706665039062;88.60282897949219;def;2026-09-10T00:00:00.000+02:00
E;2019;7;Juli;10891;121.43657684326172;91.51802825927734;132.69142150878906;100.81013488769531;98.67743682861328;102.1612777709961;112.3720932006836;98.72319030761719;113.82543182373047;def;2026-09-10T00:00:00.000+02:00
E;2019;8;August;10891;103.48445892333984;89.09117889404297;116.15567779541016;82.53608703613281;92.21708679199219;89.50194549560547;85.21688079833984;97.34822845458984;87.53819274902344;def;2026-09-10T00:00:00.000+02:00
E;2019;9;September;10891;119.15556335449219;96.26090240478516;123.78396606445312;96.89768981933594;99.34054565429688;97.54093170166016;115.1434326171875;108.04762268066406;106.56729888916016;def;2026-09-10T00:00:00.000+02:00
E;2019;10;Oktober;10891;127.67735290527344;91.47171783447266;139.58123779296875;88.20730590820312;98.83529663085938;89.24675750732422;107.15181732177734;95.02478790283203;112.76197052001953;def;2026-09-10T00:00:00.000+02:00
E;2019;11;November;10891;116.57325744628906;91.54122924804688;127.34508514404297;86.64950561523438;93.56532287597656;92.60856628417969;91.3030014038086;100.07599639892578;91.2336654663086;def;2026-09-10T00:00:00.000+02:00
E;2019;12;Dezember;10891;100.46156311035156;94.33699035644531;106.49222564697266;97.26190948486328;98.42520904541016;98.81808471679688;86.17891693115234;103.0541000366211;83.62492370605469;def;2026-09-10T00:00:00.000+02:00
E;2019;23;Jahr;10891;115.9085922241211;93.54542541503906;123.90621185302734;92.5597152709961;98.36276245117188;94.10035705566406;;;;def;2026-09-10T00:00:00.000+02:00
