Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
I;2014;7;Juli;0;105.01361846923828;99.033935546875;106.03801727294922;97.77510070800781;98.6028060913086;99.16056823730469;99.59261322021484;98.33881378173828;101.27497863769531;def;2026-09-10T00:00:00.000+02:00
I;2014;8;August;0;92.21306610107422;100.36516571044922;91.87755584716797;105.5302963256836;98.7049331665039;106.9149169921875;87.81057739257812;101.3442153930664;86.64586639404297;def;2026-09-10T00:00:00.000+02:00
I;2014;9;September;0;103.15827178955078;103.00202178955078;100.15169525146484;104.52490234375;100.75596618652344;103.74065399169922;111.86947631835938;102.62725830078125;109.005615234375;def;2026-09-10T00:00:00.000+02:00
I;2014;10;Oktober;0;112.78903198242188;101.94047546386719;110.64204406738281;103.82778930664062;97.89698028564453;106.05821228027344;109.33589935302734;98.96939086914062;110.4744644165039;def;2026-09-10T00:00:00.000+02:00
I;2014;11;November;0;97.22718048095703;102.76908111572266;94.607421875;89.42135620117188;100.50811004638672;88.96929168701172;86.20269012451172;100.81283569335938;85.50765228271484;def;2026-09-10T00:00:00.000+02:00
I;2014;12;Dezember;0;97.76907348632812;105.1282730102539;92.99978637695312;100.84432983398438;97.55039978027344;103.37664794921875;100.5573501586914;102.29562377929688;98.30073547363281;def;2026-09-10T00:00:00.000+02:00
I;2014;23;Jahr;0;101.03157043457031;101.09490966796875;99.93734741210938;100.54186248779297;99.23441314697266;101.31753540039062;;;;def;2026-09-10T00:00:00.000+02:00
I;2014;24;1. Quartal;0;100.3937759399414;103.12867736816406;97.34806823730469;102.1537094116211;99.3700942993164;102.80125427246094;;;;def;2026-09-10T00:00:00.000+02:00
I;2014;25;2. Quartal;0;101.00910186767578;100.16531372070312;100.84239196777344;99.93437194824219;100.24606323242188;99.68907165527344;96.41014099121094;96.39213562011719;100.01866912841797;def;2026-09-10T00:00:00.000+02:00
I;2014;26;3. Quartal;0;100.1283187866211;100.04920959472656;100.07907104492188;102.35403442382812;98.80651092529297;103.59037017822266;99.12802124023438;99.88408660888672;99.24304962158203;def;2026-09-10T00:00:00.000+02:00
I;2014;27;4. Quartal;0;102.5950927734375;102.26874542236328;100.31910705566406;97.92391967773438;98.41633605957031;99.49966430664062;102.46360778808594;102.21843719482422;100.23985290527344;def;2026-09-10T00:00:00.000+02:00
I;2014;28;1. Halbjahr;0;100.7014389038086;101.62784576416016;99.08843231201172;101.0284652709961;99.90205383300781;101.12751007080078;;;;def;2026-09-10T00:00:00.000+02:00
I;2014;29;2. Halbjahr;0;101.36170959472656;101.07064819335938;100.28797149658203;100.06304931640625;98.4158706665039;101.67369079589844;100.06304931640625;98.4158706665039;101.67369079589844;def;2026-09-10T00:00:00.000+02:00
I;2015;1;Januar;0;89.19241333007812;98.78750610351562;90.28713989257812;89.76061248779297;95.0761947631836;94.40914154052734;91.2276382446289;93.96853637695312;97.08316802978516;def;2026-09-10T00:00:00.000+02:00
I;2015;2;Februar;0;94.2238540649414;96.78569030761719;97.35307312011719;96.2546157836914;93.91356658935547;102.49276733398438;105.64110565185547;97.97361755371094;107.8260726928711;def;2026-09-10T00:00:00.000+02:00
I;2015;3;März;0;105.56460571289062;97.34144592285156;108.44774627685547;101.57852935791016;94.26722717285156;107.75592803955078;112.03597259521484;100.57421112060547;111.39632415771484;def;2026-09-10T00:00:00.000+02:00
I;2015;4;April;0;92.53121185302734;96.93599700927734;95.45598602294922;93.21022033691406;96.87557220458984;96.2164306640625;87.65363311767578;99.5834732055664;88.02025604248047;def;2026-09-10T00:00:00.000+02:00
I;2015;5;Mai;0;82.32889556884766;96.63419342041016;85.19644165039062;83.74197387695312;95.81746673583984;87.39739227294922;88.97418975830078;99.68865966796875;89.25206756591797;def;2026-09-10T00:00:00.000+02:00
I;2015;6;Juni;0;98.1466064453125;96.30801391601562;101.90907287597656;93.080078125;95.63201904296875;97.33150482177734;119.21282196044922;99.66246032714844;119.6165771484375;def;2026-09-10T00:00:00.000+02:00
I;2015;7;Juli;0;98.52072143554688;98.58319854736328;99.93663024902344;93.81709289550781;99.54486846923828;94.24603271484375;100.38118743896484;102.3624038696289;98.06450653076172;def;2026-09-10T00:00:00.000+02:00
I;2015;8;August;0;77.89966583251953;97.12779998779297;80.20326232910156;84.4779052734375;96.7744140625;87.29364013671875;79.0693130493164;98.523681640625;80.25411987304688;def;2026-09-10T00:00:00.000+02:00
I;2015;9;September;0;94.43760681152344;102.77094268798828;91.891357421875;91.54632568359375;99.77565002441406;91.75216674804688;121.22980499267578;105.81001281738281;114.57308959960938;def;2026-09-10T00:00:00.000+02:00
I;2015;10;Oktober;0;100.85148620605469;97.73310852050781;103.19071197509766;89.41604614257812;95.87271881103516;93.26536560058594;106.79165649414062;95.0979995727539;112.29643249511719;def;2026-09-10T00:00:00.000+02:00
I;2015;11;November;0;103.25244140625;99.744384765625;103.51705169677734;106.19709777832031;97.05680084228516;109.41747283935547;102.38068389892578;102.05792999267578;100.31624603271484;def;2026-09-10T00:00:00.000+02:00
I;2015;12;Dezember;0;92.52971649169922;96.55455780029297;95.83154296875;94.6410903930664;91.84451293945312;103.04490661621094;89.61503601074219;96.80199432373047;92.57560729980469;def;2026-09-10T00:00:00.000+02:00
